Name,CustomerID,Age,Marital Status,Gender,Ethnicity,Education
Demetrice Tammie,1069-XAIEMC,47,Married,Female,Caucasian,Master
Maura,1069-XAIEMCH,78,Unmarried,Male,Caucasian,Elementary
Mareah,1069-XAIEMH,41,Married,Female,Asian,Master
Worley,1069-XAIEMW,29,Unmarried,Male,African American,Master
Cuc,1069-XAIEMX,66,Unmarried,Male,Caucasian,Master
Elana,1069-XAIEMZ,74,Married,Male,Caucasian,Secondary
Ted Bayne,1073-XXCZD,74,Unmarried,Female,Caucasian,Master
Aldus,1073-XXCZDA,61,Married,Male,Caucasian,Elementary
Karl Tammy,1073-XXCZDC,56,Married,Female,Asian,Bachelor
Melia,1073-XXCZDCH,57,Unmarried,Female,African American,Bachelor
Maren,1073-XXCZDH,25,Unmarried,Female,Caucasian,High School
Young,1073-XXCZDW,40,Unmarried,Male,African American,Master
Danica,1073-XXCZDX,43,Married,Male,Asian,Secondary
Elane,1073-XXCZDZ,46,Married,Female,Caucasian,Senior Secondary
Evette Dambrosia,1074-AMIOH,57,Married,Male,Caucasian,Bachelor
Aldwin,1074-AMIOHA,36,Unmarried,Female,African American,Senior High School
Thaddeus Tania,1074-AMIOHC,30,Unmarried,Male,Caucasian,Bachelor
Memory,1074-AMIOHCH,53,Married,Male,Asian,Doctorate
Marena,1074-AMIOHH,63,Unmarried,Male,Asian,Senior High School
Zeno,1074-AMIOHW,34,Unmarried,Male,Caucasian,Senior Secondary
Shaquana,1074-AMIOHX,40,Unmarried,Female,Caucasian,Elementary
Elayne,1074-AMIOHZ,45,Unmarried,Male,Caucasian,Master
Lincoln Rickman,1074-WVEVG,48,Unmarried,Female,Asian,Elementary
Alec,1074-WVEVGA,84,Married,Female,Asian,Senior High School
Fidela Tanner,1074-WVEVGC,35,Unmarried,Male,Caucasian,Master
Mida,1074-WVEVGCH,56,Unmarried,Male,Asian,Secondary
Maressa,1074-WVEVGH,44,Unmarried,Female,Caucasian,Elementary
Ace,1074-WVEVGW,28,Unmarried,Male,African American,Elementary
Brinda,1074-WVEVGX,37,Married,Male,African American,Master
Elberta,1074-WVEVGZ,62,Unmarried,Female,African American,Elementary
Moshe Ring,1075-BGWOH,37,Unmarried,Male,Caucasian,Senior Secondary
Aleck,1075-BGWOHA,43,Married,Male,Caucasian,Bachelor
Stacey Tanya,1075-BGWOHC,43,Unmarried,Female,African American,Senior Secondary
Mieko,1075-BGWOHCH,50,Unmarried,Female,Caucasian,Bachelor
Marga,1075-BGWOHH,46,Unmarried,Male,African American,Master
Adrain,1075-BGWOHW,42,Unmarried,Female,Caucasian,Elementary
Janell,1075-BGWOHX,41,Married,Male,Caucasian,Senior Secondary
Elbertina,1075-BGWOHZ,40,Married,Male,Asian,Elementary
Carman Terhaar,1077-HUUJM,50,Unmarried,Female,African American,Doctorate
Alejandro,1077-HUUJMA,31,Unmarried,Male,Asian,Bachelor
Jerri Tara,1077-HUUJMC,49,Married,Male,Caucasian,Senior Secondary
Mirian,1077-HUUJMCH,64,Unmarried,Female,Caucasian,Master
Margalit,1077-HUUJMH,40,Unmarried,Female,African American,Bachelor
Almer,1077-HUUJMW,46,Married,Female,African American,Bachelor
Karri,1077-HUUJMX,34,Unmarried,Male,Caucasian,Senior Secondary
Elbertine,1077-HUUJMZ,43,Unmarried,Male,Caucasian,Master
Corinne Shifflett,1078-TDCRN,65,Unmarried,Male,Asian,Elementary
Aleks,1078-TDCRNA,55,Unmarried,Female,Caucasian,Senior Secondary
Shad Tasha,1078-TDCRNC,55,Unmarried,Female,African American,Senior Secondary
Modene,1078-TDCRNCH,45,Married,Male,African American,Elementary
Margalo,1078-TDCRNH,73,Married,Male,African American,Master
Alpheus,1078-TDCRNW,51,Unmarried,Male,African American,Bachelor
Enid,1078-TDCRNX,35,Unmarried,Male,Caucasian,Elementary
Eleanor,1078-TDCRNZ,48,Unmarried,Female,African American,Master
Goldie Litz,1080-BWSYE,83,Married,Male,Caucasian,Master
Aleksandrs,1080-BWSYEA,64,Unmarried,Male,Caucasian,Senior High School
Cher Tatiana,1080-BWSYEC,41,Married,Male,African American,Bachelor
Moselle,1080-BWSYECH,46,Unmarried,Male,Caucasian,Bachelor
Margaret,1080-BWSYEH,83,Unmarried,Female,African American,Master
Alphonsus,1080-BWSYEW,56,Unmarried,Male,Asian,Senior Secondary
Desire,1080-BWSYEX,39,Married,Female,African American,Senior Secondary
Eleanora,1080-BWSYEZ,64,Married,Male,African American,Senior High School
May Chmiel,1084-MNSMJ,74,Married,Male,Caucasian,Senior Secondary
Alessandro,1084-MNSMJA,59,Married,Male,African American,Master
Katerine Taylor,1084-MNSMJC,31,Unmarried,Male,Caucasian,Doctorate
Murle,1084-MNSMJCH,34,Married,Male,Asian,Elementary
Margareta,1084-MNSMJH,48,Unmarried,Male,African American,Senior Secondary
Alven,1084-MNSMJW,48,Unmarried,Male,African American,Senior Secondary
Brian,1084-MNSMJX,42,Unmarried,Female,African American,Elementary
Eleanore,1084-MNSMJZ,74,Married,Female,Caucasian,Master
Edwina Coddington,1084-UQCHV,61,Married,Male,African American,Master
Alex,1084-UQCHVA,44,Unmarried,Female,Caucasian,Master
Heath Taylor,1084-UQCHVC,72,Married,Male,Caucasian,Senior Secondary
Nela,1084-UQCHVCH,54,Married,Female,African American,Bachelor
Margarete,1084-UQCHVH,60,Married,Female,Caucasian,Doctorate
Amando,1084-UQCHVW,62,Married,Male,Caucasian,Senior High School
Kristeen,1084-UQCHVX,64,Unmarried,Male,Caucasian,Master
Electra,1084-UQCHVZ,39,Married,Female,Asian,Elementary
Caridad Yann,1085-LDWAM,59,Married,Female,Caucasian,Senior Secondary
Alexander,1085-LDWAMA,48,Married,Female,African American,Senior Secondary
Tommye Ted,1085-LDWAMC,49,Unmarried,Female,African American,Master
Nema,1085-LDWAMCH,64,Unmarried,Female,Caucasian,Bachelor
Margaretha,1085-LDWAMH,46,Unmarried,Male,Asian,Senior Secondary
Amedeo,1085-LDWAMW,36,Married,Male,Caucasian,Senior High School
Gilda,1085-LDWAMX,47,Unmarried,Male,Caucasian,Doctorate
Elena,1085-LDWAMZ,42,Married,Female,Asian,Master
Sarah Braithwaite,1086-LXKFY,42,Unmarried,Female,Caucasian,Master
Alexei,1086-LXKFYA,53,Unmarried,Female,Caucasian,Senior Secondary
Amberly Teddy,1086-LXKFYC,34,Married,Male,African American,Master
Normalee,1086-LXKFYCH,37,Married,Female,Caucasian,Doctorate
Margarethe,1086-LXKFYH,49,Unmarried,Female,Caucasian,Master
Amerigo,1086-LXKFYW,50,Unmarried,Male,Asian,Doctorate
Princess,1086-LXKFYX,78,Married,Male,Asian,Senior Secondary
Elene,1086-LXKFYZ,79,Unmarried,Male,Asian,Elementary
Tobie Kistner,1087-GRUYI,46,Married,Male,African American,Senior Secondary
Alexis,1087-GRUYIA,78,Married,Female,Caucasian,Master
Thelma Terence,1087-GRUYIC,78,Married,Female,Caucasian,Senior Secondary
Novie,1087-GRUYICH,61,Married,Female,Asian,Bachelor
Margaretta,1087-GRUYIH,85,Unmarried,Male,African American,Senior Secondary
Ancel,1087-GRUYIW,51,Married,Female,Caucasian,Senior High School
Earlie,1087-GRUYIX,42,Married,Female,African American,Master
Eleni,1087-GRUYIZ,47,Married,Female,Caucasian,Elementary
Beverlee Wolken,1087-UDSIH,62,Unmarried,Male,Caucasian,Senior High School
Alf,1087-UDSIHA,66,Unmarried,Male,African American,Bachelor
Madlyn Teresa,1087-UDSIHC,25,Married,Female,Asian,Secondary
Novis,1087-UDSIHCH,56,Unmarried,Female,African American,Master
Margarette,1087-UDSIHH,37,Married,Female,Caucasian,Bachelor
Anita,1087-UDSIHW,47,Unmarried,Male,Asian,Senior Secondary
Fumiko,1087-UDSIHX,45,Married,Male,African American,Master
Elenore,1087-UDSIHZ,66,Unmarried,Female,Asian,Senior Secondary
Carolyn Grasso,1088-AUUZZ,25,Married,Female,Caucasian,Elementary
Alfie,1088-AUUZZA,77,Married,Female,Caucasian,Master
Jeane Teri,1088-AUUZZC,86,Unmarried,Female,Asian,Elementary
Orah,1088-AUUZZCH,57,Married,Female,Caucasian,Elementary
Margarita,1088-AUUZZH,66,Unmarried,Female,Asian,Doctorate
Ardie,1088-AUUZZW,25,Unmarried,Female,Caucasian,Senior Secondary
Sherie,1088-AUUZZX,26,Unmarried,Male,Caucasian,Doctorate
Eleonora,1088-AUUZZZ,59,Married,Female,Caucasian,Senior High School
Rochel Boan,1088-CNNKB,55,Unmarried,Male,African American,Senior Secondary
Alfonse,1088-CNNKBA,65,Married,Male,Caucasian,Elementary
Carson Terrance,1088-CNNKBC,68,Unmarried,Female,Asian,Senior Secondary
Oree,1088-CNNKBCH,33,Unmarried,Female,African American,Senior Secondary
Margaux,1088-CNNKBH,67,Married,Male,African American,Master
Arlington,1088-CNNKBW,61,Married,Female,Asian,Senior High School
Gricelda,1088-CNNKBX,37,Unmarried,Male,Asian,Master
Eleonore,1088-CNNKBZ,47,Unmarried,Male,Caucasian,Senior High School
Hortense Scotti,1089-HDMKP,31,Unmarried,Female,African American,Bachelor
Alfonso,1089-HDMKPA,43,Married,Male,Caucasian,Senior High School
Lynette Terrell,1089-HDMKPC,68,Unmarried,Male,Asian,Master
Orlene,1089-HDMKPCH,60,Married,Male,Asian,Senior High School
Marge,1089-HDMKPH,67,Married,Male,Asian,Bachelor
Arvie,1089-HDMKPW,51,Married,Female,Caucasian,Bachelor
Serafina,1089-HDMKPX,85,Married,Female,Caucasian,Bachelor
Elfie,1089-HDMKPZ,69,Unmarried,Male,Asian,Elementary
Domingo Kelton,1089-XZWHH,48,Unmarried,Female,Asian,Senior Secondary
Alfonzo,1089-XZWHHA,50,Unmarried,Female,Caucasian,Secondary
Abdul Terrence,1089-XZWHHC,75,Unmarried,Female,Caucasian,Senior Secondary
Pascuala,1089-XZWHHCH,36,Married,Male,Asian,Senior Secondary
Margeaux,1089-XZWHHH,42,Married,Male,Caucasian,Senior Secondary
Ascencion,1089-XZWHHW,84,Unmarried,Male,Caucasian,Senior High School
Sachiko,1089-XZWHHX,66,Unmarried,Male,Caucasian,Bachelor
Elfreda,1089-XZWHHZ,52,Married,Male,Asian,Bachelor
Clark Lone,1090-ESELR,44,Married,Male,Caucasian,Bachelor
Alford,1090-ESELRA,44,Unmarried,Male,African American,Doctorate
Glendora Terri,1090-ESELRC,44,Unmarried,Male,Asian,Senior Secondary
Pearley,1090-ESELRCH,60,Married,Male,African American,Senior High School
Margery,1090-ESELRH,59,Unmarried,Female,African American,Elementary
Auburn,1090-ESELRW,52,Married,Male,Caucasian,Elementary
Jena,1090-ESELRX,86,Unmarried,Male,Caucasian,Bachelor
Elfrida,1090-ESELRZ,84,Unmarried,Female,Asian,Bachelor
Zada Lizaola,1090-PYKCI,66,Unmarried,Male,Caucasian,Bachelor
Alfred,1090-PYKCIA,86,Unmarried,Female,African American,Secondary
Chrystal Terry,1090-PYKCIC,46,Unmarried,Male,Caucasian,Bachelor
Pebble,1090-PYKCICH,44,Unmarried,Male,Asian,Secondary
Marget,1090-PYKCIH,66,Unmarried,Female,Caucasian,Elementary
Banks,1090-PYKCIW,30,Unmarried,Male,African American,Master
Shelby,1090-PYKCIX,68,Unmarried,Female,African American,Master
Elfrieda,1090-PYKCIZ,75,Unmarried,Male,African American,Senior Secondary
Tajuana Augusta,1091-SOZGA,79,Married,Male,Caucasian,Secondary
Alfredo,1091-SOZGAA,50,Unmarried,Male,Caucasian,Senior High School
Carmon Terry,1091-SOZGAC,41,Married,Male,Caucasian,Bachelor
Piccola,1091-SOZGACH,49,Married,Male,Asian,Elementary
Margette,1091-SOZGAH,68,Unmarried,Female,Caucasian,Elementary
Bertie,1091-SOZGAW,83,Married,Female,Caucasian,Elementary
Margareta,1091-SOZGAX,55,Married,Male,Caucasian,Master
Elga,1091-SOZGAZ,30,Unmarried,Female,Caucasian,Master
Donya Benningfield,1092-GANHU,66,Married,Female,Caucasian,Bachelor
Algernon,1092-GANHUA,77,Unmarried,Male,Asian,Elementary
Masako Tessa,1092-GANHUC,69,Unmarried,Female,Caucasian,Master
Princella,1092-GANHUCH,38,Unmarried,Male,African American,Bachelor
Margi,1092-GANHUH,80,Married,Female,Asian,Master
Biagio,1092-GANHUW,44,Unmarried,Male,African American,Doctorate
Dinorah,1092-GANHUX,30,Unmarried,Male,Caucasian,Bachelor
Elianora,1092-GANHUZ,76,Married,Male,Caucasian,Bachelor
Harold Stebbins,1092-WPIVQ,48,Unmarried,Male,Caucasian,Bachelor
Ali,1092-WPIVQA,47,Unmarried,Female,Caucasian,Senior Secondary
Crista Thelma,1092-WPIVQC,79,Unmarried,Female,Caucasian,Master
Rebie,1092-WPIVQCH,47,Married,Female,African American,Master
Margie,1092-WPIVQH,70,Married,Male,Asian,Bachelor
Brandon,1092-WPIVQW,74,Married,Male,Caucasian,Senior Secondary
Kiyoko,1092-WPIVQX,41,Married,Female,Asian,Doctorate
Elianore,1092-WPIVQZ,31,Married,Female,African American,Bachelor
Eva Stoller,1093-YSWCA,42,Married,Male,Caucasian,Bachelor
Alic,1093-YSWCAA,70,Married,Male,Asian,Master
Quinn Theodore,1093-YSWCAC,41,Married,Male,Caucasian,Bachelor
Recie,1093-YSWCACH,82,Unmarried,Male,African American,Senior High School
Margit,1093-YSWCAH,55,Married,Female,Caucasian,Senior Secondary
Braulio,1093-YSWCAW,77,Unmarried,Female,Caucasian,Bachelor
Danny,1093-YSWCAX,60,Married,Female,Caucasian,Bachelor
Elicia,1093-YSWCAZ,84,Married,Female,Asian,Secondary
Oswaldo Crosier,1094-BKOSX,67,Unmarried,Male,Caucasian,Bachelor
Alister,1094-BKOSXA,73,Unmarried,Male,Caucasian,Bachelor
Sydney Theresa,1094-BKOSXC,84,Unmarried,Male,Caucasian,Master
Refugio,1094-BKOSXCH,28,Married,Male,African American,Master
Marglerite,1094-BKOSXH,58,Unmarried,Female,African American,Master
Brownie,1094-BKOSXW,59,Seperated,Male,African American,Senior Secondary
Nolan,1094-BKOSXX,34,Married,Male,Caucasian,Senior Secondary
Elie,1094-BKOSXZ,30,Married,Female,Asian,Elementary
Shery Mccready,1095-JUDTC,42,Unmarried,Male,African American,Bachelor
Alix,1095-JUDTCA,77,Unmarried,Female,Asian,High School
Abby Therese,1095-JUDTCC,38,Unmarried,Female,Caucasian,Bachelor
Renetta,1095-JUDTCCH,55,Unmarried,Female,African American,Senior Secondary
Margo,1095-JUDTCH,61,Unmarried,Male,African American,Bachelor
Byrd,1095-JUDTCW,27,Married,Female,Caucasian,Bachelor
Lesli,1095-JUDTCX,44,Unmarried,Male,Caucasian,Senior High School
Elinor,1095-JUDTCZ,42,Married,Female,Caucasian,Doctorate
Theron Lenhardt,1095-WGNGG,48,Married,Male,Caucasian,Master
Allah,1095-WGNGGA,57,Married,Female,Asian,Secondary
Hisako Thomas,1095-WGNGGC,40,Unmarried,Female,Asian,Senior Secondary
Robertha,1095-WGNGGCH,85,Married,Female,Caucasian,Bachelor
Margot,1095-WGNGGH,74,Unmarried,Female,Asian,Bachelor
Ceaser,1095-WGNGGW,34,Unmarried,Female,African American,Senior High School
Donya,1095-WGNGGX,65,Unmarried,Female,Caucasian,Senior High School
Elinore,1095-WGNGGZ,66,Married,Female,African American,Senior Secondary
Ashely Covert,1096-ADRUX,42,Married,Male,African American,Senior High School
Allan,1096-ADRUXA,68,Unmarried,Female,Asian,Senior High School
Raylene Tia,1096-ADRUXC,78,Unmarried,Female,Caucasian,Master
Rosana,1096-ADRUXCH,42,Unmarried,Female,Caucasian,Bachelor
Margret,1096-ADRUXH,25,Unmarried,Male,African American,Doctorate
Celso,1096-ADRUXW,76,Married,Male,Caucasian,Senior Secondary
Palma,1096-ADRUXX,44,Married,Male,Asian,Master
Elisa,1096-ADRUXZ,34,Unmarried,Male,African American,Senior Secondary
Elden Magers,1097-FSPVW,54,Unmarried,Female,Asian,Master
Allen,1097-FSPVWA,34,Unmarried,Female,Asian,Master
Bethel Tiffany,1097-FSPVWC,69,Married,Male,Caucasian,Senior Secondary
Roselee,1097-FSPVWCH,25,Married,Female,Asian,Master
Marguerite,1097-FSPVWH,62,Unmarried,Male,Caucasian,Doctorate
Cephus,1097-FSPVWW,84,Married,Male,African American,Senior Secondary
Kenny,1097-FSPVWX,59,Unmarried,Male,Caucasian,Bachelor
Elisabet,1097-FSPVWZ,38,Unmarried,Female,Caucasian,Elementary
Ethyl Devries,1098-KFQEC,68,Married,Female,African American,Doctorate
Alley,1098-KFQECA,40,Unmarried,Male,African American,Master
Francoise Tim,1098-KFQECC,71,Unmarried,Male,Caucasian,Master
Rosene,1098-KFQECCH,40,Married,Male,Caucasian,Master
Margurite,1098-KFQECH,66,Unmarried,Female,Asian,Doctorate
Christie,1098-KFQECW,37,Unmarried,Female,Asian,Doctorate
Kristen,1098-KFQECX,26,Unmarried,Male,African American,Doctorate
Elisabeth,1098-KFQECZ,48,Unmarried,Male,Caucasian,Master
Virgilio Leonhardt,1098-TDVUQ,37,Unmarried,Female,Caucasian,Senior High School
Allie,1098-TDVUQA,51,Unmarried,Male,Caucasian,Doctorate
Hermelinda Timothy,1098-TDVUQC,53,Unmarried,Male,Asian,Master
Rosette,1098-TDVUQCH,38,Unmarried,Female,African American,Master
Margy,1098-TDVUQH,25,Married,Female,Caucasian,Elementary
Claudius,1098-TDVUQW,57,Married,Male,African American,Senior High School
Karoline,1098-TDVUQX,59,Unmarried,Male,Asian,Master
Elisabetta,1098-TDVUQZ,39,Unmarried,Female,Caucasian,Senior Secondary
Twila Villalta,1099-BTKWT,29,Unmarried,Female,Asian,Senior Secondary
Allin,1099-BTKWTA,76,Married,Female,African American,Senior High School
Tami Tina,1099-BTKWTC,61,Unmarried,Male,Caucasian,Bachelor
Rosy,1099-BTKWTCH,36,Married,Female,African American,Senior Secondary
Mari,1099-BTKWTH,84,Married,Male,Caucasian,Master
Cleotha,1099-BTKWTW,39,Married,Male,Caucasian,Elementary
Alan,1099-BTKWTX,60,Married,Female,Caucasian,Master
Elise,1099-BTKWTZ,72,Unmarried,Male,Caucasian,Secondary
Shandra Burson,1099-GODLO,36,Unmarried,Female,Caucasian,Senior High School
Allyn,1099-GODLOA,64,Unmarried,Female,Caucasian,Elementary
Yoshie Toby,1099-GODLOC,86,Married,Female,Asian,Bachelor
Rotha,1099-GODLOCH,37,Unmarried,Female,Asian,Elementary
Maria,1099-GODLOH,46,Unmarried,Male,African American,Senior Secondary
Cole,1099-GODLOW,76,Married,Male,African American,Bachelor
Glenda,1099-GODLOX,60,Unmarried,Female,Asian,Master
Elisha,1099-GODLOZ,45,Married,Female,Caucasian,Elementary
Natalie Dupler,1100-DDVRV,31,Unmarried,Female,Caucasian,Senior Secondary
Alonso,1100-DDVRVA,40,Unmarried,Male,Caucasian,Secondary
Joette Todd,1100-DDVRVC,40,Married,Male,Caucasian,Bachelor
Rushie,1100-DDVRVCH,57,Married,Female,Caucasian,Senior Secondary
Mariam,1100-DDVRVH,79,Unmarried,Female,Asian,Bachelor
Concepcion,1100-DDVRVW,66,Married,Female,Caucasian,Bachelor
Alyson,1100-DDVRVX,48,Unmarried,Female,Caucasian,Master
Elissa,1100-DDVRVZ,40,Married,Male,Caucasian,Secondary
Deloras Burkley,1101-SSWAG,68,Married,Female,African American,Elementary
Alonzo,1101-SSWAGA,68,Unmarried,Female,Caucasian,Master
Marcellus Tom,1101-SSWAGC,40,Married,Female,Caucasian,Bachelor
Ruthella,1101-SSWAGCH,43,Unmarried,Male,African American,Doctorate
Marian,1101-SSWAGH,31,Married,Female,Caucasian,Senior Secondary
Constance,1101-SSWAGW,57,Married,Male,Asian,Senior High School
Francis,1101-SSWAGX,72,Married,Male,Caucasian,Doctorate
Elita,1101-SSWAGZ,85,Unmarried,Male,Asian,Master
Dani Mcfarland,1104-FEJAM,71,Unmarried,Male,Asian,Elementary
Aloysius,1104-FEJAMA,51,Married,Male,Caucasian,Doctorate
Marguerita Tomas,1104-FEJAMC,51,Unmarried,Female,Caucasian,Senior Secondary
Sanjuana,1104-FEJAMCH,50,Married,Female,Asian,Master
Mariana,1104-FEJAMH,27,Unmarried,Female,Asian,Master
Darius,1104-FEJAMW,38,Unmarried,Male,Caucasian,Master
Riley,1104-FEJAMX,41,Unmarried,Male,Asian,Doctorate
Eliza,1104-FEJAMZ,84,Unmarried,Male,Caucasian,Senior High School
Laurinda Brenton,1104-TNLZA,60,Unmarried,Female,Caucasian,Master
Alphonse,1104-TNLZAA,44,Married,Female,African American,Senior Secondary
Celestine Tommie,1104-TNLZAC,60,Unmarried,Male,Caucasian,Bachelor
Sarrah,1104-TNLZACH,36,Unmarried,Male,Asian,Doctorate
Mariann,1104-TNLZAH,86,Married,Female,African American,Bachelor
Darol,1104-TNLZAW,63,Married,Male,Caucasian,Elementary
Carmina,1104-TNLZAX,36,Married,Female,Asian,Elementary
Elizabet,1104-TNLZAZ,64,Married,Male,African American,Senior High School
Jovita Branum,1106-HRLKZ,78,Married,Male,Asian,Doctorate
Alphonso,1106-HRLKZA,75,Married,Female,Caucasian,Bachelor
Margherita Tommy,1106-HRLKZC,59,Unmarried,Male,Asian,Senior Secondary
Seena,1106-HRLKZCH,55,Married,Female,Caucasian,Master
Marianna,1106-HRLKZH,65,Married,Male,Caucasian,Bachelor
Dickey,1106-HRLKZW,80,Married,Female,Caucasian,Master
Alethia,1106-HRLKZX,80,Unmarried,Female,Caucasian,Master
Elizabeth,1106-HRLKZZ,83,Unmarried,Male,Caucasian,Senior High School
Aleida Samms,1110-KYLGQ,47,Married,Female,African American,Senior Secondary
Alston,1110-KYLGQA,72,Unmarried,Male,Asian,Master
Marylouise Toni,1110-KYLGQC,32,Unmarried,Male,African American,Master
Silva,1110-KYLGQCH,66,Unmarried,Male,Caucasian,Master
Marianne,1110-KYLGQH,25,Unmarried,Female,African American,Bachelor
Dora,1110-KYLGQW,86,Married,Female,African American,Master
Deborah,1110-KYLGQX,54,Unmarried,Male,Asian,Elementary
Elka,1110-KYLGQZ,45,Unmarried,Male,African American,Master
Francoise Dudgeon,1112-CUNAO,74,Married,Male,Caucasian,Master
Alton,1112-CUNAOA,86,Unmarried,Female,Asian,Master
Araceli Tony,1112-CUNAOC,81,Married,Female,Asian,Bachelor
Stephany,1112-CUNAOCH,51,Unmarried,Female,Asian,Master
Maribel,1112-CUNAOH,72,Married,Female,Asian,Master
Eldo,1112-CUNAOW,57,Unmarried,Female,African American,Senior Secondary
Marvella,1112-CUNAOX,39,Married,Male,Caucasian,Doctorate
Elke,1112-CUNAOZ,57,Married,Female,Asian,Secondary
Dena Gregoire,1113-IUJYX,56,Unmarried,Female,Asian,Master
Alvin,1113-IUJYXA,44,Unmarried,Male,Asian,Doctorate
Derrick Tonya,1113-IUJYXC,57,Unmarried,Male,Asian,Master
Stephen,1113-IUJYXCH,76,Unmarried,Male,Caucasian,Doctorate
Maribelle,1113-IUJYXH,59,Unmarried,Female,Asian,Senior Secondary
Ellery,1113-IUJYXW,35,Unmarried,Male,Caucasian,Secondary
Sallie,1113-IUJYXX,45,Married,Male,Caucasian,Master
Ella,1113-IUJYXZ,50,Married,Male,Caucasian,Senior High School
Catherine Freese,1114-CENIM,56,Unmarried,Male,Asian,Master
Alwin,1114-CENIMA,53,Unmarried,Female,Caucasian,Master
Jona Tori,1114-CENIMC,77,Married,Female,Caucasian,Master
Texas,1114-CENIMCH,54,Unmarried,Male,African American,Master
Maribeth,1114-CENIMH,67,Unmarried,Male,African American,Senior High School
Elson,1114-CENIMW,65,Married,Female,Caucasian,Senior Secondary
Scottie,1114-CENIMX,57,Unmarried,Female,Asian,Master
Elladine,1114-CENIMZ,43,Unmarried,Male,Caucasian,Master
Shanell Satcher,1116-DXXDF,81,Unmarried,Male,Caucasian,Doctorate
Amadeus,1116-DXXDFA,53,Married,Male,Caucasian,Doctorate
Penny Tracey,1116-DXXDFC,86,Married,Female,African American,Master
Thecla,1116-DXXDFCH,50,Unmarried,Female,Asian,Bachelor
Marice,1116-DXXDFH,51,Unmarried,Male,African American,Master
Erle,1116-DXXDFW,57,Married,Male,Asian,Elementary
Beatriz,1116-DXXDFX,67,Unmarried,Female,Caucasian,Secondary
Elle,1116-DXXDFZ,68,Married,Male,Caucasian,Elementary
Malik Propp,1116-FRYVH,51,Unmarried,Male,African American,Doctorate
Ambros,1116-FRYVHA,80,Unmarried,Male,Asian,Master
Gerald Traci,1116-FRYVHC,35,Married,Male,Caucasian,Elementary
Toyoko,1116-FRYVHCH,54,Unmarried,Male,Asian,Secondary
Maridel,1116-FRYVHH,45,Married,Female,Caucasian,Elementary
Ersel,1116-FRYVHW,58,Married,Male,Caucasian,Senior Secondary
Mason,1116-FRYVHX,36,Unmarried,Female,African American,Bachelor
Ellen,1116-FRYVHZ,49,Married,Female,Caucasian,Senior High School
Christiana Adcox,1120-BMWUB,31,Married,Female,Caucasian,Master
Ambrose,1120-BMWUBA,57,Married,Female,Asian,Senior Secondary
Dale Tracie,1120-BMWUBC,58,Married,Male,African American,Elementary
Troy,1120-BMWUBCH,40,Unmarried,Male,Caucasian,Elementary
Marie,1120-BMWUBH,48,Unmarried,Female,Asian,Elementary
Euclid,1120-BMWUBW,39,Married,Male,African American,Bachelor
Regenia,1120-BMWUBX,48,Unmarried,Female,Caucasian,Bachelor
Ellene,1120-BMWUBZ,79,Married,Female,Caucasian,Bachelor
Debi Kanagy,1121-QSIVB,46,Unmarried,Female,Caucasian,Bachelor
Ambrosi,1121-QSIVBA,62,Married,Female,African American,Secondary
Amelia Tracy,1121-QSIVBC,52,Unmarried,Male,Asian,Senior Secondary
Ulah,1121-QSIVBCH,35,Unmarried,Female,Asian,Master
Marie-Ann,1121-QSIVBH,30,Unmarried,Male,Caucasian,Bachelor
Euell,1121-QSIVBW,86,Married,Female,Caucasian,Master
Necole,1121-QSIVBX,50,Married,Male,African American,Master
Ellette,1121-QSIVBZ,80,Married,Male,Asian,Senior Secondary
Josefina Bowlin,1122-JWTJW,47,Unmarried,Female,Caucasian,Senior Secondary
Ambrosio,1122-JWTJWA,66,Married,Female,African American,Bachelor
Pamela Tracy,1122-JWTJWC,53,Unmarried,Female,African American,High School
Valree,1122-JWTJWCH,37,Married,Female,African American,Master
Marie-Jeanne,1122-JWTJWH,48,Unmarried,Male,Caucasian,Senior High School
Evaristo,1122-JWTJWW,52,Unmarried,Male,African American,Master
Samantha,1122-JWTJWX,55,Unmarried,Male,Caucasian,High School
Elli,1122-JWTJWZ,34,Unmarried,Female,Caucasian,Master
Arthur Minjares,1122-YJBCS,51,Unmarried,Female,Caucasian,Master
Ambrosius,1122-YJBCSA,80,Married,Male,Caucasian,Master
Edda Travis,1122-YJBCSC,61,Unmarried,Male,Caucasian,Senior Secondary
Vaughn,1122-YJBCSCH,52,Married,Male,Caucasian,Master
Marieann,1122-YJBCSH,67,Married,Female,Asian,Bachelor
Everet,1122-YJBCSW,70,Unmarried,Male,Asian,Secondary
Lida,1122-YJBCSX,50,Unmarried,Male,Asian,Master
Ellie,1122-YJBCSZ,59,Unmarried,Male,Asian,Doctorate
Ambrose Furrow,1125-SNVCK,77,Married,Female,Caucasian,Master
Amery,1125-SNVCKA,36,Unmarried,Male,African American,Bachelor
Carlos Trent,1125-SNVCKC,25,Unmarried,Female,African American,Bachelor
Veatrice,1125-SNVCKCH,25,Married,Female,Caucasian,Elementary
Mariejeanne,1125-SNVCKH,43,Married,Female,Caucasian,Bachelor
Fayette,1125-SNVCKW,77,Married,Female,Caucasian,Secondary
Bette,1125-SNVCKX,82,Married,Male,Caucasian,Doctorate
Ellissa,1125-SNVCKZ,66,Unmarried,Male,Caucasian,Senior Secondary
Karine Hennessee,1131-ALZWV,51,Married,Male,Asian,Master
